"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
"488","2013-12-01 00:16:01","2013-12-01 00:24:09","128","MacDougal St & Prince St","40.72710258","-74.00297088","405","Washington St & Gansevoort St","40.739323","-74.008119","20203","Subscriber","1981","1"
"351","2013-12-01 00:16:03","2013-12-01 00:21:54","531","Forsyth St & Broome St","40.71893904","-73.99266288","400","Pitt St & Stanton St","40.71926081","-73.98178024","20127","Subscriber","1988","1"
"181","2013-12-01 00:16:25","2013-12-01 00:19:26","460","S 4 St & Wythe Ave","40.71285887","-73.96590294","539","Metropolitan Ave & Bedford Ave","40.71534825","-73.96024116","19937","Subscriber","1983","1"
"228","2013-12-01 00:16:39","2013-12-01 00:20:27","312","Allen St & E Houston St","40.722055","-73.989111","361","Allen St & Hester St","40.71605866","-73.99190759","17225","Subscriber","1986","1"
"765","2013-12-01 00:16:52","2013-12-01 00:29:37","467","Dean St & 4 Ave","40.68312489","-73.97895137","143","Clinton St & Joralemon St","40.69239502","-73.99337909","16919","Subscriber","1980","1"
"459","2013-12-01 00:16:52","2013-12-01 00:24:31","293","Lafayette St & E 8 St","40.73028666","-73.9907647","223","W 13 St & 7 Ave","40.73781509","-73.99994661","19507","Subscriber","1971","1"
"585","2013-12-01 00:16:54","2013-12-01 00:26:39","293","Lafayette St & E 8 St","40.73028666","-73.9907647","509","9 Ave & W 22 St","40.7454973","-74.00197139","17070","Subscriber","1966","1"
"1322","2013-12-01 00:16:56","2013-12-01 00:38:58","449","W 52 St & 9 Ave","40.76461837","-73.98789473","326","E 11 St & 1 Ave","40.72953837","-73.98426726","16778","Subscriber","1985","1"
"619","2013-12-01 00:17:16","2013-12-01 00:27:35","161","LaGuardia Pl & W 3 St","40.72917025","-73.99810231","317","E 6 St & Avenue B","40.72453734","-73.98185424","20749","Subscriber","1974","1"
"514","2013-12-01 00:17:16","2013-12-01 00:25:50","345","W 13 St & 6 Ave","40.73649403","-73.99704374","347","W Houston St & Hudson St","40.72873888","-74.00748842","15986","Subscriber","1984","1"
"249","2013-12-01 00:17:32","2013-12-01 00:21:41","173","Broadway & W 49 St","40.76064679","-73.98442659","495","W 47 St & 10 Ave","40.76269882","-73.99301222","15561","Subscriber","1984","1"
"417","2013-12-01 00:17:53","2013-12-01 00:24:50","300","Shevchenko Pl & E 6 St","40.728145","-73.990214","369","Washington Pl & 6 Ave","40.73224119","-74.00026394","18530","Subscriber","1982","2"
"402","2013-12-01 00:18:02","2013-12-01 00:24:44","300","Shevchenko Pl & E 6 St","40.728145","-73.990214","369","Washington Pl & 6 Ave","40.73224119","-74.00026394","18028","Subscriber","1981","1"
"557","2013-12-01 00:18:03","2013-12-01 00:27:20","504","1 Ave & E 15 St","40.73221853","-73.98165557","516","E 47 St & 1 Ave","40.75206862","-73.96784384","20031","Subscriber","1983","1"
"1691","2013-12-01 00:18:05","2013-12-01 00:46:16","313","Washington Ave & Park Ave","40.69610226","-73.96751037","471","Grand St & Havemeyer St","40.71286844","-73.95698119","18378","Customer",\N,"0"
"667","2013-12-01 00:18:10","2013-12-01 00:29:17","212","W 16 St & The High Line","40.74334935","-74.00681753","236","St Marks Pl & 2 Ave","40.7284186","-73.98713956","17148","Subscriber","1990","1"
"224","2013-12-01 00:18:19","2013-12-01 00:22:03","449","W 52 St & 9 Ave","40.76461837","-73.98789473","482","W 15 St & 7 Ave","40.73935542","-73.99931783","17126","Subscriber","1985","1"
"455","2013-12-01 00:18:28","2013-12-01 00:26:03","249","Harrison St & Hudson St","40.71870987","-74.0090009","346","Bank St & Hudson St","40.73652889","-74.00618026","19539","Subscriber","1981","1"
"451","2013-12-01 00:18:46","2013-12-01 00:26:17","263","Elizabeth St & Hester St","40.71729","-73.996375","291","Madison St & Montgomery St","40.713126","-73.984844","15967","Subscriber","1988","1"
"196","2013-12-01 00:19:01","2013-12-01 00:22:17","291","Madison St & Montgomery St","40.713126","-73.984844","311","Norfolk St & Broome St","40.7172274","-73.98802084","16166","Subscriber","1980","1"
"544","2013-12-01 00:19:02","2013-12-01 00:28:06","445","E 10 St & Avenue A","40.72740794","-73.98142006","483","E 12 St & 3 Ave","40.73223272","-73.98889957","20862","Subscriber","1988","1"
"264","2013-12-01 00:19:15","2013-12-01 00:23:39","387","Centre St & Chambers St","40.71273266","-74.0046073","146","Hudson St & Reade St","40.71625008","-74.0091059","18436","Subscriber","1989","1"
"1083","2013-12-01 00:19:29","2013-12-01 00:37:32","330","Reade St & Broadway","40.71450451","-74.00562789","325","E 19 St & 3 Ave","40.73624527","-73.98473765","15834","Subscriber","1958","1"
"808","2013-12-01 00:19:29","2013-12-01 00:32:57","479","9 Ave & W 45 St","40.76019252","-73.9912551","446","W 24 St & 7 Ave","40.74487634","-73.99529885","16474","Subscriber","1986","1"
"459","2013-12-01 00:19:55","2013-12-01 00:27:34","160","E 37 St & Lexington Ave","40.748238","-73.978311","490","8 Ave & W 33 St","40.751551","-73.993934","14718","Subscriber","1994","1"
"267","2013-12-01 00:20:41","2013-12-01 00:25:08","294","Washington Square E","40.73049393","-73.9957214","236","St Marks Pl & 2 Ave","40.7284186","-73.98713956","19342","Subscriber","1981","1"
"623","2013-12-01 00:20:45","2013-12-01 00:31:08","263","Elizabeth St & Hester St","40.71729","-73.996375","342","Columbia St & Rivington St","40.71739973","-73.98016555","19634","Subscriber","1978","2"
